# Accelerometer Data File
# Started @Sat Jul 02 13:44:34 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
-9.404 0.708 1.436 40
-9.461 0.785 1.34 40
-9.461 0.727 1.321 41
-9.404 0.708 1.474 40
-9.404 0.689 1.417 40
-9.404 0.632 1.513 40
-9.423 0.555 1.532 40
-9.5 0.517 1.589 40
-9.557 0.536 1.532 41
-9.5 0.478 1.589 40
-9.423 0.383 1.628 40
-9.385 0.383 1.647 40
-9.404 0.402 1.589 40
-9.423 0.421 1.628 41
-9.5 0.402 1.647 39
-9.557 0.402 1.647 41
-9.461 0.402 1.608 40
-9.423 0.325 1.608 40
-9.423 0.344 1.628 40
-9.423 0.363 1.532 40
-9.404 0.402 1.57 40
-9.346 0.421 1.589 40
-9.385 0.363 1.608 40
-9.461 0.383 1.628 41
-9.5 0.402 1.666 40
-9.461 0.363 1.647 40
-9.481 0.344 1.57 40
-9.385 0.325 1.513 40
-9.404 0.383 1.513 40
-9.442 0.536 1.398 40
-9.461 0.497 1.436 41
-9.5 0.402 1.551 40
-9.519 0.478 1.474 40
-9.481 0.478 1.417 40
-9.442 0.421 1.417 40
-9.404 0.421 1.417 40
-9.461 0.421 1.436 40
-9.442 0.363 1.474 41
-9.481 0.344 1.455 40
-9.576 0.325 1.398 40
-9.538 0.459 1.436 40
-9.5 0.478 1.436 40
-9.481 0.421 1.417 40
-9.481 0.421 1.379 40
-9.481 0.478 1.379 41
-9.366 0.478 1.302 40
-9.423 0.421 1.34 40
-9.461 0.402 1.379 40
-9.442 0.44 1.321 40
-9.5 0.459 1.34 40
-9.519 0.421 1.225 40
-9.481 0.459 1.264 41
-9.481 0.497 1.264 40
-9.461 0.459 1.206 40
-9.519 0.44 1.187 40
-9.595 0.44 1.206 40
-9.595 0.517 1.187 40
-9.461 0.536 1.149 40
-9.481 0.478 1.13 41
-9.481 0.574 1.091 40
-9.366 0.44 1.11 40
-9.461 0.402 1.034 40
-9.251 0.421 0.881 40
-9.308 0.574 0.785 40
-9.557 0.766 0.593 40
-9.538 0.766 0.478 40
-9.653 0.919 0.287 40
-9.615 0.9 0.0 41
