# Accelerometer Data File
# Started @Sat Jul 02 13:46:35 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
-0.191 6.435 7.067 41
-0.114 6.588 6.952 40
0.019 6.665 6.895 40
-0.076 6.799 6.818 40
-0.019 7.01 6.55 41
0.076 7.01 6.378 39
0.095 7.182 6.397 40
0.095 7.374 6.09 41
0.057 7.489 5.88 40
0.134 7.489 5.88 40
0.057 7.776 5.535 40
0.019 7.948 5.343 40
0.038 8.025 5.056 40
-0.019 8.101 4.845 41
-0.038 8.197 4.673 40
0.095 8.35 4.309 40
0.095 8.408 4.118 40
0.21 8.599 3.888 40
0.172 8.542 3.907 40
0.191 8.58 3.696 40
0.172 8.791 3.505 41
0.191 8.925 3.351 40
0.172 9.04 3.275 40
0.191 9.021 3.179 40
0.191 9.059 3.045 40
0.191 9.097 2.738 40
0.268 9.136 2.566 41
0.21 9.155 2.375 40
0.363 9.174 2.164 40
0.402 9.289 1.628 40
0.306 9.366 1.417 40
0.287 9.404 1.34 40
0.248 9.461 1.168 40
0.21 9.308 1.13 41
0.21 9.136 1.742 40
0.191 9.232 1.723 40
0.172 9.232 1.685 40
0.114 9.193 1.781 40
0.134 9.232 1.628 40
0.191 9.327 1.704 40
0.191 9.327 1.8 41
0.134 9.327 1.781 40
0.076 9.404 1.685 40
0.095 9.366 1.685 40
0.172 9.346 1.819 40
0.229 9.366 1.8 40
0.248 9.308 1.781 41
0.248 9.327 1.781 40
0.191 9.346 1.589 40
0.134 9.289 1.57 40
0.191 9.327 1.742 41
0.229 9.385 1.647 39
0.229 9.423 1.493 41
0.191 9.385 1.57 40
0.248 9.346 1.608 40
0.325 9.442 1.608 40
0.325 9.385 1.647 40
0.268 9.308 1.57 40
0.268 9.346 1.551 40
0.248 9.346 1.493 40
0.248 9.346 1.608 40
0.248 9.346 1.608 41
0.248 9.366 1.57 40
0.287 9.385 1.513 40
0.268 9.327 1.704 40
0.248 9.385 1.647 40
0.248 9.366 1.685 40
0.268 9.385 1.647 41
0.229 9.366 1.57 40
0.229 9.366 1.551 40
0.248 9.308 1.551 40
0.248 9.366 1.455 40
0.21 9.366 1.493 40
0.229 9.346 1.57 41
0.268 9.404 1.57 40
0.287 9.366 1.647 40
0.248 9.404 1.647 40
0.248 9.5 1.647 40
0.268 9.461 1.608 40
0.248 9.346 1.589 40
0.229 9.346 1.647 41
0.268 9.366 1.589 40
0.248 9.366 1.513 40
0.268 9.385 1.474 40
0.248 9.385 1.608 40
0.268 9.404 1.57 40
0.306 9.442 1.493 40
0.287 9.423 1.551 40
0.268 9.442 1.436 41
0.248 9.423 1.417 40
0.268 9.366 1.379 40
0.229 9.404 1.321 40
0.268 9.519 1.187 41
0.325 9.481 1.187 40
0.363 9.442 1.13 40
0.459 9.404 1.091 40
0.383 9.461 1.187 40
0.268 9.442 1.149 40
0.268 9.442 1.091 40
0.172 9.442 1.149 40
0.21 9.519 1.015 40
0.21 9.442 1.015 41
0.229 9.481 0.957 40
0.229 9.538 0.957 40
0.191 9.557 0.842 40
0.229 9.576 0.823 40
0.268 9.576 0.842 40
0.248 9.557 0.861 40
0.248 9.557 0.785 41
0.21 9.481 0.823 40
0.248 9.519 0.804 40
0.229 9.538 0.689 40
0.21 9.5 0.632 41
0.21 9.5 0.651 40
0.268 9.595 0.651 40
0.248 9.595 0.766 40
0.229 9.595 0.708 40
0.21 9.595 0.612 40
0.21 9.5 0.746 40
0.191 9.519 0.689 40
0.153 9.481 0.593 40
0.134 9.423 0.593 40
0.134 9.461 0.517 40
0.134 9.461 0.593 41
0.172 9.5 0.574 40
0.172 9.5 0.593 40
0.172 9.538 0.555 40
0.095 9.5 0.593 41
0.076 9.5 0.536 40
0.095 9.519 0.421 40
0.114 9.519 0.459 40
0.134 9.5 0.497 40
0.172 9.5 0.44 40
0.134 9.481 0.536 40
0.153 9.481 0.459 40
0.172 9.538 0.478 40
0.191 9.557 0.44 40
0.114 9.519 0.555 41
0.095 9.557 0.497 40
0.134 9.557 0.497 40
0.172 9.5 0.497 40
0.114 9.519 0.497 40
0.114 9.576 0.555 40
0.114 9.519 0.612 40
0.134 9.557 0.459 41
0.134 9.5 0.517 40
0.172 9.557 0.593 40
0.172 9.595 0.632 40
0.153 9.576 0.689 40
0.134 9.576 0.67 40
0.134 9.557 0.651 41
0.172 9.538 0.727 40
0.21 9.557 0.689 40
0.191 9.5 0.689 40
0.191 9.481 0.727 40
0.191 9.519 0.67 40
0.134 9.538 0.766 41
0.172 9.538 0.708 40
0.172 9.538 0.766 40
0.172 9.538 0.632 40
0.172 9.538 0.651 40
0.153 9.538 0.651 40
0.172 9.538 0.651 40
0.191 9.5 0.67 41
0.172 9.519 0.67 40
0.21 9.481 0.651 40
0.172 9.557 0.612 40
0.191 9.538 0.727 40
0.21 9.5 0.593 40
0.153 9.442 0.536 40
0.191 9.557 0.593 40
0.172 9.615 0.708 40
0.172 9.672 0.9 41
-0.153 9.921 -0.325 40
-0.363 9.979 -1.283 40
-0.344 9.825 -1.149 40
-0.268 9.538 -1.187 40
-0.306 9.423 -1.493 40
-0.44 9.289 -1.972 41
-0.344 9.251 -2.183 40
-0.229 9.251 -2.432 40
-0.248 9.27 -3.275 40
-0.632 8.714 -2.221 40
-0.478 8.887 -2.662 40
-0.248 9.078 -3.083 40
-0.038 9.481 -2.853 41
0.038 9.002 -3.83 40
-0.114 8.714 -4.884 40
0.344 9.251 -4.865 40
0.172 7.776 -5.114 40
0.517 8.082 -5.956 40
0.459 7.527 -6.971 40
0.325 6.971 -7.584 41
0.229 6.665 -7.469 40
-0.019 6.301 -7.603 40
-0.172 5.822 -7.987 40
-0.038 5.439 -8.14 40
-0.268 4.96 -8.408 40
-0.172 4.596 -8.599 40
-0.076 4.405 -8.81 41
-0.095 4.003 -8.829 42
-0.038 3.677 -9.212 38
-0.248 3.294 -9.366 40
-0.344 3.179 -9.576 40
-0.287 2.873 -9.557 40
-0.21 2.738 -9.538 40
-0.21 2.585 -9.825 41
-0.402 2.279 -10.17 40
-0.44 1.896 -9.787 40
-0.555 1.685 -9.232 40
-0.459 1.379 -9.097 40
-0.21 0.593 -9.481 41
-0.153 0.421 -9.461 40
-0.153 0.268 -9.691 40
-0.287 0.057 -10.132 40
-0.421 0.038 -9.768 40
-0.421 -0.038 -9.864 40
-0.517 -0.229 -10.132 41
-0.67 -0.268 -10.4 39
-0.517 -0.21 -10.496 40
-0.172 -0.134 -10.189 41
0.114 0.038 -9.902 40
0.153 0.287 -9.94 40
0.229 0.402 -10.017 40
0.21 0.708 -10.074 40
0.325 0.651 -10.113 40
0.536 0.478 -9.979 40
0.517 0.191 -9.825 41
0.344 0.153 -9.959 40
0.153 0.095 -10.113 40
0.095 0.057 -10.093 40
0.172 -0.038 -9.825 40
0.134 0.114 -9.442 40
0.344 0.421 -9.557 40
0.517 0.881 -9.768 41
0.804 1.015 -9.749 40
0.995 1.244 -9.519 40
1.034 1.436 -9.73 40
1.053 1.532 -10.438 40
1.11 1.934 -9.308 40
1.264 2.24 -9.423 41
1.206 2.106 -9.481 40
1.13 2.298 -9.078 40
1.8 2.624 -9.193 40
1.723 3.122 -9.174 40
1.8 3.294 -9.346 41
2.087 3.294 -9.097 40
2.375 3.332 -8.868 40
2.432 2.93 -8.944 40
2.7 2.815 -9.021 40
3.179 2.815 -9.538 41
3.16 2.93 -8.925 40
2.892 3.102 -8.676 40
2.758 3.083 -8.963 40
2.758 3.409 -8.925 40
2.949 3.026 -9.059 40
2.585 2.987 -9.232 40
2.604 3.083 -9.155 40
1.819 2.873 -9.327 41
1.379 2.681 -9.5 40
1.034 2.834 -9.442 40
0.804 2.949 -9.423 40
0.804 2.279 -9.634 40
0.766 2.183 -9.461 40
0.804 2.202 -9.193 40
1.034 2.413 -9.461 41
1.11 2.585 -9.71 40
0.995 2.509 -9.749 39
0.881 2.317 -9.672 40
0.842 2.145 -9.595 40
0.746 2.164 -9.576 41
0.689 2.279 -9.519 40
0.593 2.489 -9.576 40
0.593 2.336 -9.653 40
0.44 2.317 -9.653 40
0.287 2.068 -9.634 40
0.21 2.03 -9.73 41
0.383 2.03 -9.672 40
0.632 1.953 -9.615 40
0.593 2.145 -9.71 40
1.091 1.551 -9.442 40
1.704 1.762 -9.27 40
2.164 2.183 -9.232 41
2.489 2.164 -9.327 40
2.336 2.145 -9.442 40
2.164 2.126 -9.634 40
1.8 2.24 -9.366 40
1.398 2.336 -9.959 41
0.919 2.164 -9.921 40
0.842 1.857 -9.615 40
0.861 1.666 -9.595 40
0.881 1.8 -9.672 40
1.053 1.934 -9.787 40
1.072 2.03 -9.71 40
0.995 1.742 -9.576 41
1.034 1.647 -9.672 40
1.379 1.991 -9.002 40
1.474 2.183 -9.078 40
1.666 2.011 -9.308 40
1.551 1.934 -8.14 40
1.57 1.819 -8.619 40
1.359 1.455 -9.308 40
0.823 1.379 -9.672 40
0.919 1.379 -9.634 40
0.689 1.551 -9.634 41
0.632 1.436 -9.787 40
0.536 1.398 -9.844 40
0.421 1.398 -9.691 40
0.248 1.359 -9.691 40
0.612 1.11 -10.055 40
-0.019 0.976 -10.036 41
0.076 1.072 -10.093 40
0.038 1.034 -9.825 40
-0.172 0.938 -10.074 40
-0.134 0.842 -9.749 40
-0.076 0.746 -9.806 40
-0.134 0.612 -9.806 41
-0.134 0.612 -9.768 40
-0.172 0.517 -9.806 40
-0.248 0.593 -9.73 40
-0.344 0.459 -9.768 41
-0.574 0.306 -10.017 40
-0.766 0.21 -10.036 40
-0.708 0.651 -9.844 40
-0.746 0.555 -9.998 40
-0.957 0.478 -9.883 40
-0.881 0.268 -9.94 40
-0.842 0.229 -9.902 40
-1.015 0.076 -9.768 41
-1.034 0.019 -9.883 40
-0.976 -0.172 -9.94 40
-1.034 -0.229 -9.979 40
-0.957 -0.325 -9.806 40
-0.823 -0.881 -10.055 40
-1.015 -0.823 -10.113 41
-0.938 -0.9 -10.036 40
-0.689 -1.666 -9.864 40
-0.536 -1.972 -9.71 40
-0.268 -2.394 -9.634 40
-0.114 -2.949 -9.481 40
0.191 -3.677 -9.155 40
0.306 -3.964 -9.136 41
0.383 -4.577 -8.983 40
0.383 -5.018 -8.561 40
