PRT4	0
1.89	-0.23	-0.44
						2016-07-05 04:02:44
0.434	0.035	0.922	-18.84	0.99	-20.80
0.484	-0.008	0.934	-51.13	-12.87	-13.19
0.406	-0.047	0.906	-78.37	0.63	23.90
0.332	-0.023	0.918	-48.76	84.05	40.56
0.379	-0.031	0.965	-31.58	84.80	34.85
0.363	-0.023	0.895	15.02	54.67	-28.27
0.379	-0.031	0.891	14.86	27.12	-31.60
0.414	-0.012	0.922	36.87	45.90	-43.08
0.367	0.004	0.875	3.07	-51.09	-35.60
0.406	0.008	0.926	0.10	18.08	-21.44
0.383	0.004	0.887	-4.03	10.01	-44.03
0.395	0.023	0.926	-2.02	-10.79	-29.34
0.383	0.020	0.918	-4.67	-9.11	-19.63
0.363	0.027	0.930	-4.84	7.40	-3.87
0.367	0.031	0.922	6.51	-10.51	3.68
0.375	0.027	0.922	-2.49	-10.20	0.76
0.375	0.035	0.922	2.68	5.78	1.43
0.371	0.031	0.918	5.85	-6.90	-9.37
0.371	0.035	0.922	3.27	-10.05	-7.53
0.379	0.035	0.922	7.21	-5.27	-13.00
0.340	0.031	0.902	2.41	-0.82	-2.61
0.352	0.031	0.926	-2.43	11.69	-8.84
0.359	0.031	0.926	-0.55	3.30	1.22
0.359	0.027	0.922	3.75	1.32	-0.13
0.355	0.035	0.914	-4.51	3.75	-2.29
0.367	0.035	0.918	-15.86	8.14	14.92
0.359	0.039	0.926	-8.32	16.01	12.15
